CodFrota;descricao_especialidade
63331;REBOQUE - TRANSBORDO
63333;REBOQUE - TRANSBORDO
63334;REBOQUE - TRANSBORDO
63335;REBOQUE - TRANSBORDO
63337;REBOQUE - TRANSBORDO
63338;REBOQUE - TRANSBORDO
63339;REBOQUE - TRANSBORDO
63340;REBOQUE - TRANSBORDO
63341;REBOQUE - TRANSBORDO
63342;REBOQUE - TRANSBORDO
63343;REBOQUE - TRANSBORDO
63344;REBOQUE - TRANSBORDO
63345;REBOQUE - TRANSBORDO
63346;REBOQUE - TRANSBORDO
63347;REBOQUE - TRANSBORDO
63348;REBOQUE - TRANSBORDO
63349;REBOQUE - TRANSBORDO
63350;REBOQUE - TRANSBORDO
63351;REBOQUE - TRANSBORDO
63352;REBOQUE - TRANSBORDO
63353;REBOQUE - TRANSBORDO
63600;REBOQUE - PRANCHA
63650;REBOQUE - BANHEIRO MOVEL
63651;REBOQUE - OFICINA
63700;REBOQUE - TANQUE
63701;REBOQUE - TANQUE
63702;REBOQUE - TANQUE
63703;REBOQUE - TANQUE
63704;REBOQUE - TANQUE
63705;REBOQUE - TANQUE
63706;REBOQUE - TANQUE
63708;REBOQUE - TANQUE
63709;REBOQUE - TANQUE
63711;REBOQUE - TANQUE
63712;REBOQUE - TANQUE
63800;AREA VIVENCIA - DIVERSOS
63801;AREA VIVENCIA - DIVERSOS
63802;AREA VIVENCIA - DIVERSOS
63803;AREA VIVENCIA - DIVERSOS
63804;AREA VIVENCIA - DIVERSOS
63805;AREA VIVENCIA - DIVERSOS
63806;AREA VIVENCIA - DIVERSOS
63807;AREA VIVENCIA - DIVERSOS
63808;AREA VIVENCIA - DIVERSOS
63809;AREA VIVENCIA - DIVERSOS
63810;REBOQUE - TRANSBORDO
63390;REBOQUE - TRANSBORDO
63391;REBOQUE - TRANSBORDO
64002;MAQUINA PESADA - PA CARREGADEIRA
64003;MAQUINA PESADA - PA CARREGADEIRA
64100;MAQUINA PESADA - ESCAVADEIRA HIDRAULICA
64201;MAQUINA PESADA - MOTONIVELADORA
64300;MAQUINA PESADA - TRATOR ESTEIRA
64350;MAQUINA PESADA - ROLO COMPACTADOR
64400;MAQUINA PESADA - EMPILHADEIRA
64401;MAQUINA PESADA - EMPILHADEIRA
64402;MAQUINA PESADA - EMPILHADEIRA
65000;EQUIPAMENTO IRRIG - MOTOR IRRIGACAO
65001;EQUIPAMENTO INDUST - MOTOR ESTACIONARIO
65002;EQUIPAMENTO INDUST - MOTOR ESTACIONARIO
65004;EQUIPAMENTO IRRIG - MOTOR IRRIGACAO
65005;EQUIPAMENTO IRRIG - MOTOR IRRIGACAO
65006;EQUIPAMENTO IRRIG - MOTOR IRRIGACAO
65007;EQUIPAMENTO IRRIG - MOTOR IRRIGACAO
65008;EQUIPAMENTO IRRIG - MOTOR IRRIGACAO
65302;EQUIPAMENTO IRRIG - ELETROBOMBA
65303;EQUIPAMENTO IRRIG - ELETROBOMBA
65304;EQUIPAMENTO IRRIG - ELETROBOMBA
65305;EQUIPAMENTO IRRIG - ELETROBOMBA
65306;EQUIPAMENTO IRRIG - ELETROBOMBA
65307;EQUIPAMENTO IRRIG - ELETROBOMBA
65308;EQUIPAMENTO IRRIG - ELETROBOMBA
65309;EQUIPAMENTO IRRIG - ELETROBOMBA
65310;EQUIPAMENTO IRRIG - ELETROBOMBA
65311;EQUIPAMENTO IRRIG - ELETROBOMBA
65312;EQUIPAMENTO IRRIG - ELETROBOMBA
65313;EQUIPAMENTO IRRIG - ELETROBOMBA
65314;EQUIPAMENTO IRRIG - ELETROBOMBA
65315;EQUIPAMENTO IRRIG - ELETROBOMBA
65316;EQUIPAMENTO IRRIG - ELETROBOMBA
65318;EQUIPAMENTO IRRIG - ELETROBOMBA
65319;EQUIPAMENTO IRRIG - ELETROBOMBA
65320;EQUIPAMENTO IRRIG - ELETROBOMBA
65321;EQUIPAMENTO IRRIG - ELETROBOMBA
65322;EQUIPAMENTO IRRIG - ELETROBOMBA
65323;EQUIPAMENTO IRRIG - ELETROBOMBA
65500;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65501;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65502;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65503;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65504;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65505;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65506;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65508;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65509;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65510;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65511;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65512;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65513;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65514;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65515;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65516;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65517;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65518;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65519;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65520;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65521;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65522;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65523;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65524;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65525;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65526;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65527;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
